event_id,robot_id,component_id,triggering_sensor_id,triggering_sensor_name,threshold_breached,threshold_value,reading_value_at_detection,wing_unit_range_start,wing_unit_range_end,failure_mode,root_cause,resolution,detection_method,onset_ts,detected_ts,resolved_ts,time_to_detect_hrs,time_to_resolve_hrs,severity,downtime_hrs,production_units_affected,quality_impact,estimated_cost_impact_usd,status
FE0013,R102,C-R102-CLT,S-R102-03,Coolant Flow Rate,low,12.0,8.39,WNG-2026-01040,WNG-2026-01047,Coolant Flow Loss,Coolant Pump Seal Failure,Coolant pump seal replaced,AI Anomaly Detection,2026-01-09 02:13:00,2026-01-09 08:13:00,2026-01-09 13:13:00,6.0,5,Medium,5,8,No Impact,6410,Resolved
FE0025,R103,C-R103-ACT,S-R103-01,Pneumatic Pressure,low,4.0,3.69,WNG-2026-01040,WNG-2026-01054,Pressure Loss,Pneumatic Line Leakage,"Pneumatic seal replaced, line pressure restored",AI Anomaly Detection,2026-01-09 04:21:00,2026-01-09 08:21:00,2026-01-09 11:21:00,4.0,3,High,3,15,2 units flagged for rework,4616,Resolved
FE0001,R101,C-R101-TRN,S-R101-05,Torque Sensor,high,850.0,864.05,WNG-2026-01040,WNG-2026-01044,Excess Mechanical Resistance,Joint Misalignment,Joint alignment corrected,AI Anomaly Detection,2026-01-09 22:01:00,2026-01-09 23:01:00,2026-01-10 05:01:00,1.0,6,Low,6,5,1 unit flagged for rework,8616,Resolved
FE0037,R104,C-R104-PMP,S-R104-04,Pump Current,high,15.0,18.31,WNG-2026-01050,WNG-2026-01064,Pump Overload,Pump Bearing Wear,Paint delivery pump replaced,AI Anomaly Detection,2026-01-11 02:51:00,2026-01-11 09:51:00,2026-01-11 12:51:00,7.0,3,Medium,3,15,No Impact,4002,Resolved
FE0049,R105,C-R105-CAM,S-R105-05,Camera Position Encoder,high,0.7,0.7,WNG-2026-01080,WNG-2026-01083,Inspection Position Drift,Camera Encoder Misalignment,Camera position encoder recalibrated,AI Anomaly Detection,2026-01-17 01:28:00,2026-01-17 02:28:00,2026-01-17 05:28:00,1.0,3,High,3,4,1 unit flagged for rework,4522,Resolved
FE0026,R103,C-R103-ACT,S-R103-02,Riveting Force,low,6.0,5.71,WNG-2026-01090,WNG-2026-01095,Force Loss,Actuator Seal Wear,Actuator seal replaced,AI Anomaly Detection,2026-01-19 03:42:00,2026-01-19 05:42:00,2026-01-19 13:42:00,2.0,8,High,8,6,No Impact,10943,Resolved
FE0014,R102,C-R102-SPN,S-R102-04,Motor Current,high,42.0,43.14,WNG-2026-01095,WNG-2026-01099,Spindle Motor Overload,Excess Weld Load,"Spindle motor overload cleared, drive reset",AI Anomaly Detection,2026-01-20 15:46:00,2026-01-20 19:46:00,2026-01-20 22:46:00,4.0,3,High,3,5,No Impact,4187,Resolved
FE0002,R101,C-R101-SRV,S-R101-01,Joint Temperature,high,85.0,86.09,WNG-2026-01125,WNG-2026-01128,Servo Overheating,Cooling Fan Degradation,Cooling fan cleaned and replaced,AI Anomaly Detection,2026-01-26 22:47:00,2026-01-27 04:47:00,2026-01-27 08:47:00,6.0,4,High,4,4,No Impact,5789,Resolved
FE0038,R104,C-R104-NOZ,S-R104-05,Robot Speed,high,180.0,225.67,WNG-2026-01135,WNG-2026-01149,Speed Deviation,Arm Servo Drive Fault,Arm servo drive recalibrated,AI Anomaly Detection,2026-01-28 16:08:00,2026-01-28 21:08:00,2026-01-29 05:08:00,5.0,8,Low,8,15,No Impact,10067,Resolved
FE0050,R105,C-R105-CAM,S-R105-01,Camera Temperature,high,70.0,74.43,WNG-2026-01140,WNG-2026-01148,Camera Overheating,Cooling Vent Blockage,Camera cooling vent cleaned,AI Anomaly Detection,2026-01-29 00:03:00,2026-01-29 07:03:00,2026-01-29 12:03:00,7.0,5,High,5,9,No Impact,7178,Resolved
FE0003,R101,C-R101-TRN,S-R101-04,Encoder Position,high,0.5,0.65,WNG-2026-01175,WNG-2026-01179,Positioning Drift,Encoder Calibration Loss,Encoder recalibrated and repositioned,AI Anomaly Detection,2026-02-05 23:54:00,2026-02-06 05:54:00,2026-02-06 11:54:00,6.0,6,Low,6,5,1 unit flagged for rework,7593,Resolved
FE0039,R104,C-R104-NOZ,S-R104-03,Nozzle Temperature,high,80.0,83.98,WNG-2026-01190,WNG-2026-01201,Nozzle Overheating,Paint Residue Buildup,Nozzle cleaned and cooled,AI Anomaly Detection,2026-02-08 01:14:00,2026-02-08 04:14:00,2026-02-08 09:14:00,3.0,5,High,5,12,No Impact,6746,Resolved
FE0015,R102,C-R102-CLT,S-R102-03,Coolant Flow Rate,low,8.0,7.9,WNG-2026-01190,WNG-2026-01198,Coolant Flow Loss,Coolant Pump Seal Failure,Coolant pump seal replaced,AI Anomaly Detection,2026-02-08 18:59:00,2026-02-09 01:59:00,2026-02-09 06:59:00,7.0,5,Critical,5,9,No Impact,7121,Resolved
FE0051,R105,C-R105-CAM,S-R105-05,Camera Position Encoder,high,0.7,0.71,WNG-2026-01195,WNG-2026-01205,Inspection Position Drift,Camera Encoder Misalignment,Camera position encoder recalibrated,AI Anomaly Detection,2026-02-09 09:06:00,2026-02-09 17:06:00,2026-02-10 00:06:00,8.0,7,High,7,11,No Impact,8766,Resolved
FE0027,R103,C-R103-ACT,S-R103-05,Encoder Position,high,0.8,0.86,WNG-2026-01245,WNG-2026-01249,Rivet Placement Drift,Encoder Misalignment,Rivet position encoder recalibrated,AI Anomaly Detection,2026-02-19 14:37:00,2026-02-19 21:37:00,2026-02-20 03:37:00,7.0,6,High,6,5,No Impact,8393,Resolved
FE0040,R104,C-R104-PMP,S-R104-02,Paint Flow Rate,low,18.0,17.78,WNG-2026-01270,WNG-2026-01284,Flow Reduction,Nozzle Partial Clog,Nozzle cleaned,AI Anomaly Detection,2026-02-24 07:48:00,2026-02-24 09:48:00,2026-02-24 17:48:00,2.0,8,Medium,8,15,No Impact,10537,Resolved
FE0028,R103,C-R103-CTL,S-R103-03,Motor Current,high,25.0,25.14,WNG-2026-01270,WNG-2026-01276,Servo Drive Overload,Electrical Overload,Servo drive replaced,AI Anomaly Detection,2026-02-24 13:06:00,2026-02-24 19:06:00,2026-02-25 01:06:00,6.0,6,High,6,7,1 unit flagged for rework,7755,Resolved
FE0004,R101,C-R101-TRN,S-R101-04,Encoder Position,high,1.0,1.03,WNG-2026-01275,WNG-2026-01281,Positioning Drift,Encoder Calibration Loss,Encoder recalibrated and repositioned,AI Anomaly Detection,2026-02-25 03:29:00,2026-02-25 09:29:00,2026-02-25 12:29:00,6.0,3,High,3,7,No Impact,4446,Resolved
FE0052,R105,C-R105-CAM,S-R105-05,Camera Position Encoder,high,0.7,0.75,WNG-2026-01275,WNG-2026-01277,Inspection Position Drift,Camera Encoder Misalignment,Camera position encoder recalibrated,AI Anomaly Detection,2026-02-25 04:05:00,2026-02-25 08:05:00,2026-02-25 13:05:00,4.0,5,High,5,3,No Impact,6605,Resolved
FE0016,R102,C-R102-SPN,S-R102-05,Vibration,high,8.0,8.5,WNG-2026-01275,WNG-2026-01287,Spindle Bearing Wear,Lubrication Loss,Spindle bearing replaced and relubricated,AI Anomaly Detection,2026-02-25 17:03:00,2026-02-25 22:03:00,2026-02-26 03:03:00,5.0,5,High,5,13,2 units flagged for rework,7438,Resolved
FE0041,R104,C-R104-NOZ,S-R104-03,Nozzle Temperature,high,65.0,69.52,WNG-2026-01320,WNG-2026-01330,Nozzle Overheating,Paint Residue Buildup,Nozzle cleaned and cooled,AI Anomaly Detection,2026-03-06 20:43:00,2026-03-06 22:43:00,2026-03-07 06:43:00,2.0,8,Medium,8,11,1 unit flagged for rework,10611,Resolved
FE0053,R105,C-R105-CAM,S-R105-03,Lighting Intensity,low,500.0,487.99,WNG-2026-01325,WNG-2026-01327,Lighting Degradation,LED Array Aging,Lighting array replaced,AI Anomaly Detection,2026-03-07 18:50:00,2026-03-08 02:50:00,2026-03-08 07:50:00,8.0,5,High,5,3,No Impact,7184,Resolved
FE0005,R101,C-R101-SRV,S-R101-02,Motor Current,high,22.0,23.37,WNG-2026-01340,WNG-2026-01346,Servo Overload,Excess Load on Positioning Axis,Motor current normalized after servo drive reset,AI Anomaly Detection,2026-03-10 07:10:00,2026-03-10 08:10:00,2026-03-10 16:10:00,1.0,8,High,8,7,No Impact,10035,Resolved
